Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
114,21,5,52,9,Some Random Commen with Id 114
115,22,5,105,2,Some Random Commen with Id 115
116,24,2,103,8,Some Random Commen with Id 116
117,25,6,67,2,Some Random Commen with Id 117
118,25,6,105,7,Some Random Commen with Id 118
119,25,6,121,3,Some Random Commen with Id 119
120,25,6,61,4,Some Random Commen with Id 120
121,25,6,158,0,Some Random Commen with Id 121
122,25,6,13,4,Some Random Commen with Id 122
123,26,4,43,2,Some Random Commen with Id 123
124,26,4,44,5,Some Random Commen with Id 124
125,26,4,86,0,Some Random Commen with Id 125
126,26,4,86,4,Some Random Commen with Id 126
127,27,8,99,3,Some Random Commen with Id 127
128,27,8,132,9,Some Random Commen with Id 128
129,27,8,140,5,Some Random Commen with Id 129
130,27,8,150,4,Some Random Commen with Id 130
131,27,8,125,6,Some Random Commen with Id 131
132,27,8,32,6,Some Random Commen with Id 132
133,27,8,55,3,Some Random Commen with Id 133
134,28,3,139,6,Some Random Commen with Id 134
135,28,3,180,6,Some Random Commen with Id 135
136,28,3,148,8,Some Random Commen with Id 136
137,29,9,18,3,Some Random Commen with Id 137
138,29,9,141,8,Some Random Commen with Id 138
139,29,9,143,9,Some Random Commen with Id 139
140,29,9,159,4,Some Random Commen with Id 140
141,29,9,39,9,Some Random Commen with Id 141
142,30,3,193,0,Some Random Commen with Id 142
143,30,3,119,5,Some Random Commen with Id 143
144,31,4,189,7,Some Random Commen with Id 144
145,31,4,192,9,Some Random Commen with Id 145
146,31,4,96,7,Some Random Commen with Id 146
147,32,9,40,0,Some Random Commen with Id 147
148,32,9,36,3,Some Random Commen with Id 148
149,32,9,130,0,Some Random Commen with Id 149
150,32,9,111,8,Some Random Commen with Id 150
151,32,9,143,0,Some Random Commen with Id 151
152,32,9,117,7,Some Random Commen with Id 152
153,32,9,46,9,Some Random Commen with Id 153
154,32,9,88,1,Some Random Commen with Id 154
155,33,1,40,4,Some Random Commen with Id 155
156,33,1,105,1,Some Random Commen with Id 156
157,33,1,197,6,Some Random Commen with Id 157
158,33,1,31,7,Some Random Commen with Id 158
159,33,1,129,1,Some Random Commen with Id 159
160,33,1,0,3,Some Random Commen with Id 160
161,33,1,1,9,Some Random Commen with Id 161
162,33,1,108,9,Some Random Commen with Id 162
163,33,1,72,7,Some Random Commen with Id 163
164,34,2,8,3,Some Random Commen with Id 164
165,34,2,165,9,Some Random Commen with Id 165
166,34,2,190,2,Some Random Commen with Id 166
167,34,2,117,7,Some Random Commen with Id 167
168,34,2,136,7,Some Random Commen with Id 168
169,34,2,33,5,Some Random Commen with Id 169
170,35,2,152,9,Some Random Commen with Id 170
171,35,2,19,5,Some Random Commen with Id 171
172,35,2,64,0,Some Random Commen with Id 172
173,35,2,174,3,Some Random Commen with Id 173
174,35,2,179,9,Some Random Commen with Id 174
175,35,2,49,9,Some Random Commen with Id 175
176,35,2,5,5,Some Random Commen with Id 176
177,35,2,21,8,Some Random Commen with Id 177
178,35,2,157,7,Some Random Commen with Id 178
179,36,0,150,4,Some Random Commen with Id 179
180,36,0,148,8,Some Random Commen with Id 180
181,36,0,97,8,Some Random Commen with Id 181
182,37,1,176,7,Some Random Commen with Id 182
183,37,1,63,3,Some Random Commen with Id 183
184,37,1,145,5,Some Random Commen with Id 184
185,38,4,13,6,Some Random Commen with Id 185
186,38,4,163,9,Some Random Commen with Id 186
187,38,4,124,4,Some Random Commen with Id 187
188,38,4,176,9,Some Random Commen with Id 188
189,38,4,111,6,Some Random Commen with Id 189
190,38,4,23,6,Some Random Commen with Id 190
191,38,4,66,7,Some Random Commen with Id 191
192,38,4,123,0,Some Random Commen with Id 192
